salamander,treatment,flies.eaten,observer,date,prop_full
8,no food,0,WB,11-Jul,0.0186
8,no food,0,IR,11-Jul,0.0245
8,no food,0,WB,13-Jul,0.0517
8,no food,0,IR,13-Jul,0.0136
8,no food,0,WB,18-Jul,0.036
8,no food,0,IR,18-Jul,0.0183
10,no food,0,WB,11-Jul,0.0735
10,no food,0,IR,11-Jul,0.0824
10,no food,0,WB,13-Jul,0.0867
10,no food,0,IR,13-Jul,0.0547
10,no food,0,WB,18-Jul,0.1038
10,no food,0,IR,18-Jul,0.0357
11,no food,0,WB,11-Jul,0.0401
11,no food,0,IR,11-Jul,0.0341
11,no food,0,WB,13-Jul,0.0535
11,no food,0,IR,13-Jul,0.091
11,no food,0,WB,18-Jul,0.0991
11,no food,0,IR,18-Jul,0.0305
14,no food,0,WB,11-Jul,0.0269
14,no food,0,IR,11-Jul,0.0498
14,no food,0,WB,13-Jul,0.0495
14,no food,0,IR,13-Jul,0.0479
14,no food,0,WB,18-Jul,0.0481
14,no food,0,IR,18-Jul,0.025
16,no food,0,WB,11-Jul,0.0399
16,no food,0,IR,11-Jul,0.0736
16,no food,0,WB,13-Jul,0.0632
16,no food,0,IR,13-Jul,0.0539
16,no food,0,WB,18-Jul,0.0607
16,no food,0,IR,18-Jul,0.0735
17,no food,0,WB,11-Jul,0.0146
17,no food,0,IR,11-Jul,0.0173
17,no food,0,WB,13-Jul,0.0291
17,no food,0,IR,13-Jul,0.0329
17,no food,0,WB,18-Jul,0.0394
17,no food,0,IR,18-Jul,0.034
23,no food,0,WB,11-Jul,0.0211
23,no food,0,IR,11-Jul,0.0338
23,no food,0,WB,13-Jul,0.0338
23,no food,0,IR,13-Jul,0.0338
23,no food,0,WB,18-Jul,0.0654
23,no food,0,IR,18-Jul,0.048
27,no food,0,WB,11-Jul,0.0192
27,no food,0,IR,11-Jul,0.0252
27,no food,0,WB,13-Jul,0.0822
27,no food,0,IR,13-Jul,0.057
27,no food,0,WB,18-Jul,0.0289
27,no food,0,IR,18-Jul,0.035
28,no food,0,WB,11-Jul,0.0479
28,no food,0,IR,11-Jul,0.113
28,no food,0,WB,13-Jul,0.2406
28,no food,0,IR,13-Jul,0.1997
28,no food,0,WB,18-Jul,0.043
28,no food,0,IR,18-Jul,0.0677
30,no food,0,WB,11-Jul,0.0983
30,no food,0,IR,11-Jul,0.0917
30,no food,0,WB,13-Jul,0.0182
30,no food,0,IR,13-Jul,0.0238
30,no food,0,WB,18-Jul,0.0716
30,no food,0,IR,18-Jul,0.0753
20,medium,5,WB,11-Jul,0.0386
20,medium,5,IR,11-Jul,0.0688
20,medium,5,WB,13-Jul,0.0315
20,medium,5,IR,13-Jul,0.0313
20,medium,5,WB,18-Jul,0.0864
20,medium,5,IR,18-Jul,0.0864
15,medium,5,WB,11-Jul,0.0581
15,medium,5,IR,11-Jul,0.0751
15,medium,5,WB,13-Jul,0.1052
15,medium,5,IR,13-Jul,0.06
15,medium,5,WB,18-Jul,0.1493
15,medium,5,IR,18-Jul,0.1308
12,medium,5,WB,11-Jul,0.0764
12,medium,5,IR,11-Jul,0.1018
12,medium,5,WB,13-Jul,0.0837
12,medium,5,IR,13-Jul,0.0783
12,medium,5,WB,18-Jul,0.1867
12,medium,5,IR,18-Jul,0.1029
13,medium,5,WB,11-Jul,0.0396
13,medium,5,IR,11-Jul,0.075
13,medium,5,WB,13-Jul,0.0559
13,medium,5,IR,13-Jul,0.0528
13,medium,5,WB,18-Jul,0.0848
13,medium,5,IR,18-Jul,0.067
9,medium,5,WB,11-Jul,0.0406
9,medium,5,IR,11-Jul,0.0422
9,medium,5,WB,13-Jul,0.0351
9,medium,5,IR,13-Jul,0.0378
9,medium,4,WB,18-Jul,0.0371
9,medium,4,IR,18-Jul,0.0397
2,medium,2,WB,11-Jul,0.0419
2,medium,2,IR,11-Jul,0.0439
2,medium,1,WB,13-Jul,0.0243
2,medium,1,IR,13-Jul,0.0572
2,medium,2,WB,18-Jul,0.0623
2,medium,2,IR,18-Jul,0.0427
38,medium,5,WB,11-Jul,0.0189
38,medium,5,IR,11-Jul,0.0457
38,medium,5,WB,13-Jul,0.1015
38,medium,5,IR,13-Jul,0.0142
38,medium,5,WB,18-Jul,0.1535
38,medium,5,IR,18-Jul,0.0356
36,medium,6,WB,11-Jul,0.1012
36,medium,6,IR,11-Jul,0.0782
36,medium,5,WB,13-Jul,0.0937
36,medium,5,IR,13-Jul,0.0522
36,medium,5,WB,18-Jul,0.0608
36,medium,5,IR,18-Jul,0.0337
34,medium,5,WB,11-Jul,0.0922
34,medium,5,IR,11-Jul,0.0806
34,medium,4,WB,13-Jul,0.0883
34,medium,4,IR,13-Jul,0.0861
34,medium,1,WB,18-Jul,0.0798
34,medium,1,IR,18-Jul,0.0571
25,medium,5,WB,11-Jul,0.0801
25,medium,5,IR,11-Jul,0.0929
25,medium,5,WB,13-Jul,0.0919
25,medium,5,IR,13-Jul,0.0663
25,medium,5,WB,18-Jul,0.0941
25,medium,5,IR,18-Jul,0.0941
24,medium,5,WB,11-Jul,0.0184
24,medium,5,IR,11-Jul,0.0747
24,medium,5,WB,13-Jul,0.0638
24,medium,5,IR,13-Jul,0.0673
24,medium,5,WB,18-Jul,0.1084
24,medium,5,IR,18-Jul,0.0158
